ags,name,verwaltungsform,bev_30_06,schulden_gesamt_eur,kredite_eur,kassenkredite_eur
01001000,"Flensburg, kreisfreie Stadt",30,96025,32122291,32122291,-
01002000,"Kiel, kreisfreie Stadt, Landeshauptstadt",30,250601,549867972,549867972,-
01003000,"Lübeck, kreisfreie Stadt, Hansestadt",30,216070,443709923,315718368,3850000
01004000,"Neumünster, kreisfreie Stadt",30,78982,118060727,107739806,-
01051010,"Dithmarschen, Kreisverwaltung",32,133334,44335667,44335667,-
01051100,"Brunsbüttel, Stadt",41,12675,34525709,4819125,-
01051200,Hemmingstedt,50,2855,8056406,8056406,-
01051200,"KLG Heider-Umland, Amtsverwaltung",55,15505,1136528,1136528,-
01051200,Lieth,50,381,-,-,-
01051200,Lohe-Rickelshof,50,2026,3197275,-,-
01051200,Neuenkirchen,50,936,3086000,-,-
01051200,Norderwöhrden,50,249,-,-,-
01051200,Nordhastedt,50,2775,1229645,-,-
01051200,Ostrohe,50,853,566000,566000,-
01051201,Stelle-Wittenwurth,50,473,42000,42000,-
01051201,Weddingstedt,50,2388,1317704,1317704,-
01051201,Wesseln,50,1375,947368,-,-
01051201,Wöhrden,50,1194,2818399,2818399,-
01051300,Averlak,50,590,532868,532868,-
01051300,Brickeln,50,189,186547,186547,-
01051300,Buchholz,50,1000,2379164,2379164,-
01051300,Burg (Dithmarschen),50,4131,6385761,6385761,-
01051300,"Burg-St. Michaelisdonn, Amtsverwaltung",55,15744,758200,758200,-
01051300,Dingen,50,656,617257,617257,-
01051300,Eddelak,50,1344,1698097,1698097,-
01051300,Eggstedt,50,751,739248,739248,-
01051300,Frestedt,50,352,410190,410190,-
01051300,Großenrade,50,487,331995,331995,-
01051300,Hochdonn,50,1110,714220,714220,-
01051300,Kuden,50,640,780309,-,-
01051300,Quickborn,50,185,-,-,-
01051300,Sankt Michaelisdonn,50,3519,568392,568392,-
01051301,Süderhastedt,50,790,812271,812271,-
01051400,"Heide, Stadt",41,21830,26646248,26646248,-
01051500,Albersdorf,50,3742,6207247,6207247,-
01051500,Arkebek,50,226,201880,201880,-
01051500,Bargenstedt,50,949,1246485,-,-
01051500,Barlt,50,734,1095792,1095792,-
01051500,Bunsoh,50,767,836831,836831,-
01051500,Busenwurth,50,305,74700,74700,-
01051500,Elpersbüttel,50,882,1046121,-,-
01051500,Epenwöhrden,50,757,1328736,-,-
01051500,Gudendorf,50,426,756591,756591,-
01051500,Immenstedt,50,108,145552,-,-
01051500,Krumstedt,50,512,1178371,-,-
01051500,"Meldorf, Stadt",50,7163,32064017,31370067,-
01051500,"Mitteldithmarschen, Amtsverwaltung",55,23164,5563914,1944400,-
01051500,Nindorf,50,1117,2199434,500000,-
01051500,Odderade,50,330,859557,-,-
01051500,Offenbüttel,50,247,547892,-,-
01051500,Osterrade,50,410,954302,-,-
01051500,Sarzbüttel,50,706,1182122,1182122,-
01051500,Schafstedt,50,1304,3240709,3118566,122143
01051501,Nordermeldorf,50,591,1004248,-,-
01051501,Schrum,50,80,213755,213755,-
01051501,Tensbüttel-Röst,50,650,1788059,1788059,-
01051501,Wennbüttel,50,88,191999,-,-
01051501,Windbergen,50,755,1342203,-,-
01051501,Wolmersdorf,50,315,524990,-,-
01051600,Diekhusen-Fahrstedt,50,675,358837,-,-
01051600,Friedrichskoog,50,2423,1836294,1598447,231295
01051600,Helse,50,818,296420,-,-
01051600,Kaiser-Wilhelm-Koog,50,356,-,-,-
01051600,Kronprinzenkoog,50,834,-,-,-
01051600,"Marne, Stadt",50,5674,5333626,3795889,-
01051600,"Marne-Nordsee, Amtsverwaltung",55,12813,8313114,8313114,-
01051600,Marnerdeich,50,396,1139668,1000277,139391
01051600,Neufeld,50,608,-,-,-
01051600,Neufelderkoog,50,104,-,-,-
01051600,Ramhusen,50,169,-,-,-
01051601,Schmedeswurth,50,183,-,-,-
01051601,Trennewurth,50,242,-,-,-
01051601,Volsemenhusen,50,331,-,-,-
01051800,Büsum,50,4957,27488674,22771778,1250452
01051800,"Büsum-Wesselburen, Amtsverwaltung",55,12710,221000,221000,-
01051800,Büsumer Deichhausen,50,347,-,-,-
01051800,Friedrichsgabekoog,50,56,-,-,-
01051800,Hedwigenkoog,50,212,207000,207000,-
01051800,Hellschen-Heringsand-Unterschaar,50,163,173481,15492,-
01051800,Hillgroven,50,52,20199,20199,-
01051800,Norddeich,50,437,318517,318517,-
01051800,Oesterdeichstrich,50,251,69413,-,-
01051800,Reinsbüttel,50,380,978252,698252,-
01051801,Oesterwurth,50,234,21840,-,-
01051801,Schülp,50,385,30828,-,-
01051801,Strübbel,50,73,11231,11231,-
01051801,Süderdeich,50,427,69582,-,-
01051801,Warwerort,50,229,-,-,-
01051801,"Wesselburen, Stadt",50,3458,4986713,4530218,-
01051801,Wesselburener Deichhausen,50,104,13130,13130,-
01051801,Wesselburenerkoog,50,160,63983,-,46931
01051801,Westerdeichstrich,50,785,165000,165000,-
01051900,Barkenholm,50,171,50000,50000,-
01051900,Bergewöhrden,50,34,157989,-,-
01051900,Dellstedt,50,729,1215898,1082098,-
01051900,Delve,50,759,400000,400000,-
01051900,Dörpling,50,663,1492126,911872,-
01051900,Fedderingen,50,274,248800,248800,-
